"norm_cidade","LOCAL_VOTACAO","Escola",match
"SAO FRANCISCO DO CONDE","ESCOLA MUNICIPAL MARIA AMELIA","ESCOLA MARIA AMELIA SANTOS",1
"SAO FRANCISCO DO CONDE","ESCOLA ISIDORIA BORGES","CRECHE ISIDORIA BORGES",1
"ALAGOINHAS","COLEGIO MARIA DE LOURDES","ESCOLA MUNICIPAL MARIA DE LOURDES SANTOS",1
"ALAGOINHAS","GINASIO MIGUEL FONTES","ESCOLA MUNICIPAL MIGUEL FONTES",1
"SAO JOSE DA VITORIA","COLEGIO ESTADUAL 13 DE JUNHO","EE - COLEGIO ESTADUAL TREZE DE JUNHO",1
"OUROLANDIA","ESCOLA MUNICIPAL JOSE GERALDO","ESCOLA MUNICIPAL JOSE GERALDO RIBEIRO",1
"IGAPORA","GRUPO ESCOLAR FAZENDA CANABRAVA","COLEGIO MUNICIPAL DE CANABRAVA",1
"TANQUE NOVO","COLEGIO MUNICIPAL MURICI","COLEGIO MUNICIPAL DO MURICI",1
"TANQUE NOVO","PREDIO ESCOLAR RENERIO LOPES","ESC MUL RENERIO LOPES DA SILVA",1
"TANQUE NOVO","PREDIO ESCOLAR CONRADO R COSTA","ESCOLA MUL CONRADO RODRIGUES COSTA",1
"BARRA DA ESTIVA","CENTRO EDUCACIONAL RIO PRETO","CERP - CENTRO EDUCACIONAL RIO PRETO",1
"ITAMARAJU","ESCOLA URBIS II","ESCOLA MUNICIPAL DE 1º GRAU URBIS II",1
"PARATINGA","ESCOLA MUNICIPAL MANOEL BARBOSA","ESCOLA MUNICIPAL MANOEL BARBOSA NETO",1
"SEBASTIAO LARANJEIRAS","GRUPO ESCOLAR D. PEDRO I","EE - COLEGIO ESTADUAL DOM PEDRO I",1
"BELO CAMPO","ESCOLA MUNICIPAL ODILON VIEIRA","ESCOLA MUNICIPAL ODILON VIEIRA SANTOS",1
"LAURO DE FREITAS","SARTRE COC","SARTRE ESCOLA SEB",1
"LAURO DE FREITAS","ESCOLA MUNICIPAL QUINGOMA DE FORA","ESCOLA MUNICIPAL QUINGOMA",1
"LAURO DE FREITAS","ESCOLA MUNICIPAL TALISMA","ESCOLA MUNICIPAL JARDIM TALISMA",1
"TEIXEIRA DE FREITAS","ESCOLA MUNICIPAL DE 1. GRAU GILBERTO CARDOSO","ESCOLA MUNICIPAL GILBERTO DA SILVA CARDOSO",1
"ITANAGRA","COLEGIO MUNICIPAL ISAIAS ALVES","ESCOLA DRº ISAIAS ALVES",1
"DIAS D'AVILA","CENTRO EDUCACIONAL PADRE CAMILO TORREND","CENTRO EDUCACIONAL PADRE TORREND",1
"FORMOSA DO RIO PRETO","GRUPO ESCOLAR MUNICIPAL GOV. JOSE MARCELINO","ESCOLA MUNICIPAL GOVERNADOR JOSE MARCELINO",1
"ITAPEBI","ESCOLA EULINA SUZART","GRUPO ESCOLAR EULINA SUZART SANTOS",1
"ITABELA","GRUPO ESCOLAR MANOEL CARNEIRO","COLEGIO MANOEL RIBEIRO CARNEIRO",1
"MARCIONILIO SOUZA","PREDIO ESCOLAR TRANQUILINO PEREIRA","ESCOLA MUL TRANQUILINO PEREIRA DA SILVA",1
"WENCESLAU GUIMARAES","PREDIO ESCOLAR LEOPOLDO H. KNOEDT","ESCOLA MUNICIPAL LEOPOLDO HENRIQUE KNOEDT",1
"CAATIBA","ESCOLA MUNICIPAL RURAL DE CAATIBA","ESCOLA RURAL DE CAATIBA",1
"ITAMBE","COLEGIO EMILIA REBOUCAS","ESC EMILIA REZENDE REBOUCAS",1
"ITAMBE","COLEGIO CELI PEREIRA DA SILVA","ESCOLA MUNICIPAL CELI PEREIRA",1
"DOM MACEDO COSTA","COLEGIO ESTADUAL ERALDO TINOCO","EE - COLEGIO ESTADUAL ERALDO TINOCO MELO",1
"MUNIZ FERREIRA","ESCOLA ESTADUAL PROFESSORA ELPHIDIA FREIRE","ESCOLA MUNICIPALIZADA ELPHIDIA DANTAS FREIRE",1
"SANTO ANTONIO DE JESUS","ESCOLINHA PADRE MATEUS","CENTRO EDUCACIONAL PADRE MATEUS",1
"SANTO ANTONIO DE JESUS","COLEGIO LUIZ VIANA","EE - COLEGIO ESTADUAL LUIZ VIANA FILHO- TEMPO INTEGRAL",1
"EUNAPOLIS","ESCOLINHA KENNEDY","ESCOLA KENNEDY",1
"FORTALEZA","CIES AIDA SANTOS","DIAS SANTOS CENTRO EDUCACIONAL",1
"FORTALEZA","COLEGIO CHRISTUS SUL","COLEGIO CHRISTUS UNIDADE SUL",1
"FORTALEZA","COLEGIO SANTA CECILIA","CECILIA COLEGIO SANTA",1
"MARANGUAPE","ESCOLA MUN. DR. CESAR CAMPELO","CESAR CAMPELO EMEF DR",1
"PALMACIA","ESCOLA MUN. PE. BATISTA QUEIROZ","BATISTA QUEIROS - ESC MUL PE",1
"QUIXADA","ESCOLA DE 1 GRAU AZIZ BAQUIT","AZIZ OKKA BAQUIT ESCOLA DE ENSINO FUNDAMENTAL",1
"CASCAVEL","ESC.ENS.FUND. DA COHAB","COHAB EEF",1
"CASCAVEL","E.E.B. DEPUTADO RAIMUNDO QUEIROZ","RAIMUNDO QUEIROZ EEB DEP",1
"CASCAVEL","ESC.ENS.FUND. SAO BENEDITO","BENEDITO SAO EEF",1
"BAIXO GUANDU","EEUEF DE SANTA ROSA","EMUEIEF SANTA ROSA",1
"SANTA LEOPOLDINA","EPM DE REGENCIA","EMPEF REGENCIA",1
"SANTA LEOPOLDINA","EU DE TRES PONTES","EMPEF TRES PONTES",1
"SANTA LEOPOLDINA","EPM DE LUXEMBURGO","EMPEF LUXEMBURGO",1
"SANTA LEOPOLDINA","EUM DE BRAGANCA","EMUEF BRAGANCA",1
"SANTA MARIA DE JETIBA","EP DE VILA JETIBA","EMEF VILA DE JETIBA",1
"SANTA MARIA DE JETIBA","E.P.  RIO TRIUNFO","EMPEIEF RIO TRIUNFO",1
"IBATIBA","EPG SANTA MARIA","EMEIEF SANTA MARIA",1
"ALFREDO CHAVES","EEEF DE CRUBIXA","EMEF CRUBIXA",1
"MARECHAL FLORIANO","ES DE VITOR HUGO","EMEF VICTOR HUGO",1
"DOMINGOS MARTINS","EPSG DE PEDREIRAS","EEEFM PEDREIRAS",1
"ANCHIETA","ESCOLA CORONEL GOMES OLIVEIRA","EEEFM CORONEL GOMES DE OLIVEIRA",1
"ANCHIETA","JOCELINA NOGUEIRA","CMEI PROFESSORA JOCELINA NOGUEIRA",1
"PIUMA","ESCOLA MUNICIPAL DE ITINGA - EMEF","EMEF ITINGA",1
"IUNA","COLEGIO RENASCER","COLEGIO RENASCER EIRELI",1
"MUNIZ FREIRE","EPSG BRAULIO FRANCO","CEEFMTI BRAULIO FRANCO",1
"MUNIZ FREIRE","EPE SANTA JOANA","EMEF SANTA JOANA",1
"ARACRUZ","EMPI PAU BRASIL","EMP INDIGENA PAU BRASIL",1
"SAO MATEUS","EM DE PAULISTA","CEIM PAULISTA",1
"SAO MATEUS","EM SAO PIO X","EMEIEF SAO PIO X",1
"SAO MATEUS","GRUPO ESCOLAR DE SANTA MARIA","CEIM SANTA MARIA",1
"ITAPEMIRIM","EPEF PEDRA","EMUEF PEDRA BRANCA",1
"ITAPEMIRIM","EPE DO LIMAO","EMPEF LIMAO",1
"ITAPEMIRIM","EPE DE SANTO AMARO","EMPEF SANTO AMARO",1
"AGUA DOCE DO NORTE","EEEF DE SANTO AGOSTINHO","EP MUL SANTO AGOSTINHO",1
"BARRA DE SAO FRANCISCO","EEEF DE MONTE SENIR","EM MONTE SENIR",1
"GUARAPARI","ESCOLA ARLINDO GOBBI","EMEIEF ARLINDO GOBBI",1
"GUARAPARI","ESCOLA  RIO CLARO","EEEFM RIO CLARO",1
"GUARAPARI","ESCOLA CLERIO BELO LYRA","EMPEF CLERIA BELO LIRA",1
"GUARAPARI","ESCOLA AMARELOS","EMEIEF AMARELOS",1
"GUARAPARI","ESCOLA RIO CLARO","EEEFM RIO CLARO",1
"GUARAPARI","COLEGIO MAXIME","MAXIME CENTRO EDUCACIONAL",1
"GUARAPARI","ESCOLA  ANA ROCHA LYRA","EMEIEF ANA ROCHA LYRA",1
"LINHARES","EPM CORREGO JAPIRA","EMPEIPEF CORREGO JAPIRA",1
"LINHARES","EPM TERRA ALTA","EMPEIUEF TERRA ALTA",1
"LINHARES","EPM BIBIANA COSTA","EMPEIPEF BIBIANA COSTA",1
"SERRA","EMEF DE PUTIRI","CRECHE PUTIRI",1
"NOVA VENECIA","EU REFRIGERIO","EMEIEF REFRIGERIO",1
"NOVA VENECIA","EP SAO LUIZ REIS","EMEIEF SAO LUIZ REI",1
"NOVA VENECIA","EPG CEDROLANDIA","EMEIEF CEDROLANDIA",1
"NOVA VENECIA","EU SAO MIGUEL","EMEF SAO MIGUEL",1
"VILA VELHA","COLEGIO UP","UP CENTRO EDUCACIONAL",1
"VILA VELHA","COLEGIO CEIC","CEIC",1
"RIO NOVO DO SUL","EU CAPIM ANGOLA","EMPEF CAPIM ANGOLA",1
"RIO NOVO DO SUL","EU PRINCESA","EMPEIEF PRINCESA",1
"RIO NOVO DO SUL","EP QUARTEIRAO","EMEIEF QUARTEIRAO",1
"RIO NOVO DO SUL","EPM VITAL LUCAS","EMEIEF VITAL LUCAS",1
"VARGEM ALTA","ESCOLA DE BELEM","CMEI FAZENDA BELEM",1
"MUCURICI","EPG DE AGUA BOA","EMPEIEF AGUA BOA",1
"PONTO BELO","EPG DE ITAMIRA","EEEM ITAMIRA",1
"BOA ESPERANCA","EMEF DE SANTO ANTONIO","EMEIEF SANTO ANTONIO",1
"PINHEIROS","CRECHE DOCE LAR","CMEI MUL DOCE LAR",1
"JAGUARE","EPM SAO ROQUE","EMEIEF SAO ROQUE",1
"SOORETAMA","EMEF CORREGO CHUMBADO","EMEF CHUMBADO",1
"MARATAIZES","ESCOLA MUNICIPAL MARINGA","EMEIEF MARINGA",1
"BOM JESUS DO NORTE","ESCOLA SAO SEBASTIAO","EMEIEF SAO SEBASTIAO",1
"MARILANDIA","EMEF FAZENDA BRAVIN","EMEF ANGELO BRAVIN",1
"CACHOEIRO DE ITAPEMIRIM","EEEF DE COUTINHO","EMEB COUTINHO",1
"SERRA","CRECHE PENELOPE","CMEI PENELOPE",1
"VILA VELHA","EPG ZALUAR DIAS","UMEF PROFESSOR ZALUAR DIAS",1
"GOIANIA","EXTERNATO SAO JOSE","CSRL EXTERNATO SAO JOSE",1
"GOIANIA","COLEGIO MARIA BETANIA","COLEGIO MARIA BETANIA LTDA",1
"DOVERLANDIA","ESCOLA MUNICIPAL SONHO MEU","ESC MUL RURAL SONHO MEU",1
"ANHANGUERA","COLEGIO MUNICIPAL JOAO E MARIA","ESCOLA MUNICIPAL JOAOZINHO E MARIA",1
"FORMOSA","ESCOLA MUNICIPAL FAZENDA PALMEIRA","ESCOLA MUNICIPAL ISOLADA FAZENDA PALMEIRA",1
"ITABERAI","COLEGIO SUSI","CENTRO EDUCACIONAL SUSI LTDA",1
"ITUMBIARA","COLEGIO ZENITE LTDA","COLEGIO ZENITE",1
"SANTO ANTONIO DO DESCOBERTO","ESCOLA SANTA ROSA","EMEF SANTA ROSA",1
"PIRENOPOLIS","ALDEIA DA PAZ","CRECHE ALDEIA DA PAZ",1
"PIRES DO RIO","COLEGIO DECISAO (FASUG)","COLEGIO DECISAO",1
"AGUAS LINDAS DE GOIAS","ESCOLA MUNICIPAL EDNALDA GUEDES","ESC MUNICIPAL EDNALDA GUEDES DE SOUZA",1
"VALPARAISO DE GOIAS","ESCOLA MONTEIRO LOBATO","ESCOLA MUNICIPAL DA QUADRA 26 MONTEIRO LOBATO",1
"ANICUNS","ESCOLA MUNICIPAL MANOEL GARCEZ","ESCOLA MUNICIPAL MANOEL GARCEZ BUENO",1
"GOIATUBA","COLEGIO ANTARES","COLEGIO ULBRA ANTARES",1
"NIQUELANDIA","ESCOLA MUN. NOSSA SRA. D ABADIA","ESC MUL DE PRIMEIRO GRAU NOSSA SENHORA DA ABADIA",1
"NIQUELANDIA","ESCOLA MUNIC. SANTA ROSA","ESCOLA MUNICIPAL SANTA ROSA",1
"PARAUNA","ESCOLA MUNICIPAL PONTE DE PEDRA","ESCOLA MUNICIPAL RURAL DE TEMPO INTEGRAL PONTE DE PEDRA",1
"PONTALINA","ESCOLA MUNICIPAL AYRTON SENNA","ESCOLA MUNICIPAL AYRTON SENNA DA SILVA",1
"QUIRINOPOLIS","ESCOLA  DR ONERIO PEREIRA","COLEGIO ESTADUAL DR ONERIO PEREIRA VIEIRA",1
"QUIRINOPOLIS","COLEGIO SAO JOSE","COLEGIO SAO JOSE LTDA",1
"GUARANI DE GOIAS","ESCOLA ESTADUAL SANTO ANTONIO","ESCOLA MUNICIPAL FAZENDA SANTO ANTONIO",1
"SAO DOMINGOS","ESCOLA ESTADUAL DA ESTIVA","COLEGIO ESTADUAL POVOADO ESTIVA",1
"SAO DOMINGOS","ESCOLA ESTADUAL DO SAO VICENTE","ESCOLA ESTADUAL POVOADO SAO VICENTE",1
"TRINDADE","ESCOLA MUNICIPAL MODELO","CENTRO MUNICIPAL DE EDUCACAO INFANTIL MODELO",1
"NOVA VENEZA","ESCOLA MUNICIPAL 'TEREZA ZANINI II'","ESCOLA MUNICIPAL TEREZA ZANINI PEIXOTO",1
"RIANAPOLIS","ESCOLA MUNICIPAL RITA MONICA","ESCOLA MUNICIPAL RITA MONICA LEDO",1
"ALEXANIA","ESCOLA MUNICIPAL MARIA TEREZA LOPES","ESCOLA MUNICIPAL MARIA TEREZA LOPES DE SOUZA",1
"ALEXANIA","ESCOLA MUNICIPAL LAURA BARBOSA","ESCOLA MUNICIPAL LAURA BARBOSA COELHO",1
"SAO SIMAO","ESCOLA ESTADUAL SAO SIMAO","COLEGIO ESTADUAL DE SAO SIMAO",1
"TERESINA DE GOIAS","ESCOLA ESTADUAL KALUNGA 3","ESCOLA ESTADUAL CALUNGA III",1
"NOVA CRIXAS","ESCOLA MUNICIPAL RURAL ALVORADA","ESC MUL ALVORADA",1
"APARECIDA DE GOIANIA","ESCOLA ESTADUAL DIVALDO DE SOUZA","COLEGIO ESTADUAL DIVALDO DIVINO DE SOUZA",1
"APARECIDA DE GOIANIA","ESCOLA ESTADUAL JARDIM DOM BOSCO","COLEGIO ESTADUAL DOM BOSCO",1
"BURITINOPOLIS","ESCOLA MUNICIPAL SANTA RITA","ESC MUL DA FAZENDA SANTA RITA",1
"TURVELANDIA","ESCOLA MUNICIPAL GERALDO SIRIO","ESCOLA MUNICIPAL DO ENSINO FUNDAMENTAL GERALDO SIRIO",1
"MINACU","ESCOLA SAO LUCAS","ESCOLA MUNICIPAL RURAL SAO LUCAS",1
"GOIANIA","COLEGIO MARISTA","COLEGIO MARISTA GOIANIA",1
"GOIANIA","GRUPO PREPARA ENEM","COPE - COLEGIO PREPARAENEM",1
"ANAPOLIS","ESCOLA MUNICIPAL ANHANGUERA","ESCOLA MUNICIPAL LIONS ANHANGUERA",1
"ANAPOLIS","ESCOLA MUNICIPAL AYRTON SENA","ESCOLA MUNICIPAL AYRTON SENNA DA SILVA",1
"APARECIDA DE GOIANIA","ESCOLA ESTADUAL JARDIM NOVA ERA","COLEGIO ESTADUAL NOVA ERA",1
"APARECIDA DE GOIANIA","ESCOLA MUNICIPAL PARQUE SAO JORGE","ESCOLA MUNICIPAL SAO JORGE",1
"SAO LUIS","COLEGIO SAO VICENTE DE PAULO","AEVSLM COLEGIO SAO VICENTE DE PAULO",1
"SAO LUIS","UNID INT ROSARIO NINA","UEB ENS FUND ROSARIO NINA",1
"SAO LUIS","CIEP - ALBERICO SILVA","UEB ENS FUND ALBERICO SILVA",1
"CAXIAS","UNIDADE ESCOLAR MUNICIPAL SAO ROQUE","UE MUL SAO ROQUE",1
"CAXIAS","UNIDADE ESCOLAR MUNICIPAL SINHA CASTELO","UI MUL SINHA CASTELO",1
"CAXIAS","UNIDADE ESCOLAR EMILIA COSTA","UE MUL EMILIA COSTA",1
"CAXIAS","UNIDADE ESCOLAR MUNICIPAL SAO RAIMUNDO","UE MUL SAO RAIMUNDO",1
"CAXIAS","CRECHE ROSINA","CENTRO DE EDUCACAO INFANTIL ROSINA",1
"ALDEIAS ALTAS","ESCOLA PADRE ANTONIO FERRARIS","ESCOLINHA PE ANTONIO FERRARIS",1
"CODO","ESCOLA ROSALINA ZAIDAN","UE MUL ROSALINA ZAIDAN",1
"CODO","CRECHE ESCOLA AMOR DE DEUS","CMEI AMOR DE DEUS",1
"TRIZIDELA DO VALE","GRUPO ESCOLAR SANTA ROSA","GE STA ROSA",1
"SAO LUIS","COLEGIO BRASIL","COL BRASIL LTDA",1
"SAO LUIS","COLEGIO SA VALE","UEB ENS FUND PROF SA VALLE",1
"SAO LUIS","UNIDADE ESCOLAR PROFESSOR LUIS REGO","UEB ENS FUND PROF LUIS REGO",1
"SAO LUIS","COLEGIO ROSILDA CORDEIRO","UEB ENS FUND PROF ROSILDA CORDEIRO",1
"AGUA DOCE DO MARANHAO","UNIDADE ESCOLAR SERGIO LEONARDO","UNIDADE DE EDUCACAO BASICA SERGIO LEONARDO",1
"AGUA DOCE DO MARANHAO","UNIDADE ESCOLAR SAO JOSE","UNIDADE DE EDUCACAO BASICA SAO JOSE",1
"AGUA DOCE DO MARANHAO","UNIDADE ESCOLAR ONEDINA GOMES COSTA","UNIDADE DE EDUCACAO BASICA ONEDINA GOMES COSTA",1
"AGUA DOCE DO MARANHAO","UNIDADE ESCOLAR JOAO NEVES FURTADO","UNIDADE DE EDUCACAO BASICA JOAO NEVES FURTADO",1
"ARAIOSES","GRUPO ESCOLAR SILVIO FREITAS DINIZ","UNIDADE ESCOLAR DOMINGOS FREITAS DINIZ",1
"ARAIOSES","UNIDADE ESCOLAR ANTONIO SILVA","UNIDADE ESCOLAR MANOEL ANTONIO SILVA",1
"ARAIOSES","UNIDADE ESCOLAR SILVIO FREITAS DINIZ","UNIDADE ESCOLAR DOMINGOS FREITAS DINIZ",1
"BACABAL","CRECHE MAE DAYSE","UEI MAE DAYSE",1
"BACABAL","CRECHE PLIM PLIM","UI PLIM PLIM",1
"BACABAL","UNIDADE ESCOLAR DE PALMEIRAL","UEF PALMEIRAL",1
"BACABAL","UNIDADE ESCOLAR DE CATUCA","UEF CATUCA",1
"CURURUPU","UNIDADE ESCOLAR RIBEIRO DA CRUZ","UE MANOEL RIBEIRO DA CRUZ",1
"ITAPECURU MIRIM","ESCOLA MUNICIPAL DOM PEDRO","EM DOM PEDRO II - II",1
"ITAPECURU MIRIM","CENTRO DE ENSINO ITAPECURU-MIRIM","UE DE ITAPECURU MIRIM",1
"ROSARIO","UNIDADE ESCOLAR 7 DE MARCO","UNIDADE ESCOLAR SETE DE MARCO",1
"SANTA RITA","UNIDADE ESCOLAR MARIA RAIMUNDA MELO","UE PROFª MARIA RAIMUNDA MELO SANTOS",1
"TIMON","UNIDADE ESCOLAR SINHARA","EMEF DONA SINHARA",1
"TIMON","UNIDADE ESCOLAR SAO ELIAS","EMEF SAO ELIAS",1
"CAJARI","ESCOLA MUNICIPAL CIRENE ABREU","ESCOLA MUNICIPAL CIRENE ABREU SERRA",1
"VIANA","COLEGIO FARAILDES CAMPELO","UE PROFA FARAILDES CAMPELO SILVA",1
"BARRA DO CORDA","UNIDADE ESCOLAR PEDRO MARINA","UE PEDRO MARINA - JATOBA",1
"BARRA DO CORDA","UNIDADE ESCOLAR SALOMAO BARROSO","UE SALOMAO BARROSO - SAO MIGUEL",1
"BARRA DO CORDA","UNIDADE ESCOLAR JOSE MACEDO DA SILVA","UI JOSE MACEDO DA SILVA - SUJA PE",1
"COELHO NETO","ESCOLA MUNICIPAL MOACYR BACELAR","UE DR MOACYR BACELAR NUNES",1
"COLINAS","UNIDADE ESCOLAR DR ANTONIO DINO","CENTRO DE ENSINO DR ANTONIO JORGE DINO",1
"ICATU","ESCOLA MUNICIPAL JANUARIO ALVES","EM REUNIDA JANUARIO ALVES",1
"ICATU","ESCOLA MUNICIPAL SANTA TEREZA","EM STA TEREZA",1
"SANTO AMARO DO MARANHAO","ESCOLA MUNICIPAL RURAL NEWTON BELLO","EM NEWTON BELO",1
"SANTO AMARO DO MARANHAO","ESCOLA MUNICIPAL ALVARO AZEVEDO","EM ALVARO AZEVEDO SILVA",1
"IMPERATRIZ","ESCOLA SANTA RITA","EM STA RITA",1
"IMPERATRIZ","ESCOLA COSTA E SILVA","EM PRES COSTA E SILVA",1
"ALTO ALEGRE DO MARANHAO","UNIDADE ESCOLAR MAMEDE PIRES","UI JOAO MAMEDE PIRES",1
"ALTO ALEGRE DO MARANHAO","ESCOLA SANTA MONICA","UE STA MONICA",1
"ALTO ALEGRE DO MARANHAO","UNIDADE ESCOLAR MUNICIPAL ELISA MONTEIRO","UI ELIZA MONTEIRO",1
"SAO LUIS GONZAGA DO MARANHAO","UNIDADE ESCOLAR HERCULANO PARGA","ESCOLA MUNICIPAL REUNIDA HERCULANO PARGA",1
"PARNARAMA","UNIDADE ESCOLAR SANTA CRUZ","U E STA CRUZ",1
"PAULINO NEVES","UNIDADE ESCOLAR JOAQUIM OLIVEIRA","PRE ESC JOAQUIM OLIVEIRA ARAUJO",1
"PAULINO NEVES","UNIDADE ESCOLAR GARCES DE OLIVEIRA","EM AMARO GARCES DE OLIVEIRA",1
"TUTOIA","COLEGIO CAJUZINHO","UE O CAJUZINHO",1
"MONCAO","ESCOLA MUNICIPAL GETULIO VARGAS","EM PRES VARGAS",1
"PENALVA","UNIDADE ESCOLAR PRESIDENTE DUTRA","UE PRES DUTRA",1
"PENALVA","UNIDADE ESCOLAR TANCREDO  NEVES","CENTRO DE ENSINO DR TANCREDO NEVES CEMA",1
"SAO JOSE DE RIBAMAR","UNIDADE ESCOLAR 7 DE SETEMBRO","CENTRO DE ENSINO SETE DE SETEMBRO",1
"SAO JOSE DE RIBAMAR","ESCOLA MUNICIPAL ITAPARY - PRE-ESCOLA","EM ITAPARI",1
"SAO JOSE DE RIBAMAR","CRECHE TURIUBA","ESCOLA MUNICIPAL DE EDUCACAO INFANTIL TURIUBA",1
"BREJO DE AREIA","ESCOLA MUNICIPAL GETULIO VARGAS","UE RURAL GETULIO VARGAS",1
"VITORINO FREIRE","ESCOLA RURAL ANTONIO FLOR","EM RURAL ANTONIO FLOR",1
"NINA RODRIGUES","ESCOLA RAIMUNDO VIANA","EM RAIMUNDO VIANA BRAGA",1
"VARGEM GRANDE","COLEGIO NEWTON NEVES","EMEF I PROF NEWTON NEVES",1
"VARGEM GRANDE","GRUPO ESCOLAR AZIZI TRABULSI","EMEF II AZIZI TRABULSI",1
"VARGEM GRANDE","UNIDADE ESCOLAR JOSE SALIM TRABULSI","EMEF I II JOSE SALIM TRABULSI",1
"VARGEM GRANDE","UNIDADE ESCOLAR PADRE CARVALHO","EMEF II PADRE CARVALHO",1
"SAO BERNARDO","COLEGIO SENADOR JOSE SARNEY","EM SEN SARNEY",1
"SAO BERNARDO","ESCOLA PRESIDENTE CASTELO BRANCO","UI PRES CASTELO BRANCO",1
"JOSELANDIA","ESCOLA MUNCIPAL JOAO XXIII","EM JOAO XXIII",1
"PRESIDENTE DUTRA","ESCOLA MUNICIPAL FIRMINA","ESCOLA MUNICIPAL FIRMINA SOARES",1
"BARREIRINHAS","UNIDADE ESCOLAR LUIS DE FRANCA","UE LUIZ DINIZ DE FRANCA",1
"JOAO LISBOA","GRUPO ESCOLAR FREI TOME","U I FREI TOME",1
"FORTUNA","UNIDADE ESCOLAR FIRMINO MAJOR","UI FIRMINO MAJO",1
"GOVERNADOR LUIZ ROCHA","UNIDADE ESCOLAR SANTA RITA","UE STA RITA",1
"SAO DOMINGOS DO MARANHAO","UNIDADE ESCOLAR ENOQUE VIEIRA","UE ENOC VIEIRA",1
"SAO DOMINGOS DO MARANHAO","UNIDADE ESCOLAR PEDRO II","UE DOM PEDRO II",1
"SAO DOMINGOS DO MARANHAO","UNIDADE ESCOLAR DOUTORA ARLETE ALVES","UE DRA ARLETE ALMEIDA ALVES",1
"ESPERANTINOPOLIS","E M 7 DE SETEMBRO","EM SETE DE SETEMBRO",1
"SAO ROBERTO","E M REMI SOARES","UI REMY SOARES",1
"SAO ROBERTO","E M ROBERTO ROCHA","EM ROBERTO ROCHA - ANEXO I",1
"SAO JOAO BATISTA","GRUPO ESCOLAR SURAMA SOARES","GRUPO ESCOLAR SURAMA SERRA SOARES",1
"BOM LUGAR","UNIDADE ESCOLAR ALVES DE ABREU","UNIDADE ESCOLAR MANOEL ALVES DE ABREU",1
"PIRAPEMAS","UNIDADE ESCOLAR WALTER ANDRADE","UI WALTER ALVES ANDRADE",1
"CAPINZAL DO NORTE","GRUPO ESCOLAR NEY BRAGA","UIM NEY BRAGA",1
"SANTA LUZIA","UNIDADE ESCOLAR PROFESSOR CHAGAS","UE PROF JOSE CHAGAS",1
"MIRADOR","ESCOLA BOM JESUS","UNIDADE DE EDUCACAO BASICA BOM JESUS",1
"SUCUPIRA DO NORTE","UNIDADE DE EDUCACAO BASICA SANTA TERESINHA","UEB SANTA TEREZINHA",1
"URBANO SANTOS","UNIDADE ESCOLAR LAURA COSTA","UE LAURA ARAUJO COSTA",1
"URBANO SANTOS","UNIDADE ESCOLAR PAULO DINIZ","UE PAULO DINIZ DA COSTA",1
"URBANO SANTOS","UNIDADE ESCOLAR CAROLINA VIEIRA","UE CAROLINA VIEIRA DA SILVA",1
"URBANO SANTOS","UNIDADE ESCOLAR ANA RODRIGUES","UI ANA RODRIGUES DA SILVA",1
"LAGO DO JUNCO","COLEGIO POETA ZECA LEDA","COLEGIO ZECA LEDA",1
"IGARAPE DO MEIO","ESCOLA MUNICIPAL FAZENDA NOVA","EM ALTO DA FAZENDA NOVA",1
"BOM JARDIM","ESCOLA MUNICIPAL SAO PEDRO","EMEB SAO PEDRO I",1
"SAO JOAO DO CARU","ESCOLA MUNICIPAL MARECHAL DEODORO DA FONSECA","EM MARECHAL DEODORO",1
"TUNTUM","ESCOLA MUNICIPAL ONEIDE MILHOMEM","EM ONEIDE MILHOMEM SIPAUBA",1
"SANTA LUZIA DO PARUA","ESCOLA MUNICIPAL JACUNICAUA I","EM PARUA JACUNICAUA",1
"MATOES","UNIDADE ESCOLAR SANTA LUZIA","U E STA LUZIA",1
"SANTA HELENA","ESCOLA MUNICIPAL DE SAO PEDRO","CEF SAO PEDRO",1
"SANTA HELENA","ESCOLA MUNICIPAL DE SANTA MARIA","CEF SANTA MARIA",1
"SANTA HELENA","ESCOLA MUNICIPAL DE SAO ROQUE","CRECHE SAO ROQUE",1
"SANTA HELENA","ESCOLA MUNICIPAL RAIMUNDO TEIXEIRA","CEF RAIMUNDO JOAO TEIXEIRA",1
"SAO MATEUS DO MARANHAO","GRUPO ESCOLAR NEI BRAGA","U E M NEY BRAGA",1
"SAO MATEUS DO MARANHAO","GRUPO ESCOLAR ANTERO BOUERES","UE MUN ANTERO BOUERES",1
"SAO MATEUS DO MARANHAO","GRUPO ESCOLAR SANTA CLARA","UE MUN SANTA CLARA",1
"SAO MATEUS DO MARANHAO","UNIDADE ESCOLAR PREFEITO VICENTE MARTINS","UNIDADE ESCOLAR MUNICIPAL PREFEITO VICENTE MARTINS DA SILVA",1
"SAO MATEUS DO MARANHAO","UNIDADE ESCOLAR DOM PEDRO I","U E MUN DOM PEDRO I",1
"SATUBINHA","UNIDADE ESCOLAR PROFESSORA LEDA TARGIRA","ESCOLA MUNICIPAL LEDA TAJRA",1
"SAO LUIS","UEB EVANDRO BESSA","UEB EVANDRO BESSA ESTIVA",1
"FERNANDO FALCAO","ESCOLA MOISES CANELA","ESCOLA MUNICIPAL DE EDUCACAO BASICA AMIDIPE CANELA",1
