"norm_cidade","LOCAL_VOTACAO","Escola",match
"TEFE","ESCOLA RURAL IMACULADA CONCEICAO","ESCOLA MUN RURAL IMACULADA CONCEICAO",1
"TEFE","ESCOLA MUNICIPAL FLORA AGRICOLA","ESCOLA MUN RURAL FLORA AGRICOLA",1
"BORBA","ESCOLA INDIGENA KASOPTA","ESC MUNICIPAL INDIGENA KASOPTA I",1
"MANICORE","GRUPO ESCOLAR 'SAO VICENTE'","ESCOLA MUNICIPAL SAO JOSE - SAO VICENTE",1
"HUMAITA","ESCOLA CANDIDA AREAL SOUTO","ESCOLA ESTADUAL PROFª CANDIDA SOUTO",1
"ITAPIRANGA","ESCOLA ESTADUAL PROFESSORA TEREZA SANTOS","CENTRO EDUCACIONAL TEREZA SANTOS MARQUES",1
"ITAPIRANGA","ESCOLA MUNICIPAL JULIO MARTINS","ESCOLA MUNICIPAL JULIO MARTINS FILHO",1
"BARREIRINHA","ESCOLA MUNICIPAL SANTA MARIA","ESC SANTA MARIA -TUTIRA",1
"SANTA ISABEL DO RIO NEGRO","ESCOLA ESTADUAL PADRE JOSE SCHNEIDER","ESCOLA ESTADUAL PADRE SCHANAIDER",1
"MANAUS","E. E. GOV. MELO E POVOAS","ESCOLA ESTADUAL GOVERNADOR MELO E POVOAS",1
"MANAUS","E. M. SAO JOSE","EM SAO JOSE II",1
"NOVA OLINDA DO NORTE","ESCOLA ESTADUAL ABILIO NERY","ESCOLA ESTADUAL ENGO ABILIO NERY",1
"TABATINGA","ESC. MUN. SAO SEBASTIAO - COMARA","ESC MUN SAO SEBASTIAO",1
"TABATINGA","ESC. MUN. INDIGENA MARECHAL RONDON - SAPOTAL","ESC MUL INDIGENA MARECHAL RONDON",1
"ATALAIA DO NORTE","ANEXO ESCOLA PIO VEIGA","ESCOLA ESTADUAL PIO VEIGA",1
"NHAMUNDA","ESCOLA JULIO FURTADO BELEM","ESC EST FURTADO BELEM",1
"IPIXUNA","ESCOLA ESTADUAL CASTELO BRANCO","ESCOLA ESTADUAL PRES CASTELLO BRANCO",1
"ENVIRA","ESCOLA CHAGAS MATTOS","ESC MUNICIPAL RURAL CHAGAS MATTOS",1
"JAPURA","ESCOLA MUNICIPAL NOVA JERUSALEM","ESC MUN INDIGENA JERUSALEM",1
"JURUA","ESCOLA ESTADUAL ROMERITO BRITO","ESCOLA ESTADUAL PROFESSOR ROMERITO DA SILVA BRITO",1
"IRANDUBA","E. M. SANTA LUZIA XIBORENA","ESC SANTA LUZIA I",1
"ALVARAES","ESCOLA MUNICIPAL MAYARA ABDEL AZIZ","ESC MAYARA AZIZ",1
"UARINI","ESCOLA MUNICIPAL ZENILDA BRAGA","ESC AZENILDA BRAGA LOPES",1
"ITAMARATI","ESCOLA MUNICIPAL JOSE CORONEL PAULINO GOMES","ESC PEDRO PAULINO GOMES",1
"MACAPA","E.E. GUANABARA","ESC EST MODELO GUANABARA",1
"OIAPOQUE","ESCOLA DE PRIMEIRO GRAU KUMARUMA","ESC INDIGENA MUL KUMARUMA",1
"SANTANA","E.P.G. PIAUI","ESC MUL PIAUI",1
"LARANJAL DO JARI","ESCOLA ESTADUAL IRANDIR PONTES","ESC EST IRANDYR PONTES NUNES",1
"LARANJAL DO JARI","ESCOLA MUNICIPAL MUNDO ENCANTADO","CRECHE MUL MUNDO ENCANTADO",1
"MACAPA","EEEF PROF. ONEIDE LIMA","ESC EST PROF ONEIDE PINTO LIMA",1
"SALVADOR","CENTRO EDUCACIONAL ALEXANDRINO","CENTRO EDUCACIONAL ALEXANDRINA LTDA",1
"SALVADOR","ESCOLA ESTADUAL SANTOS DUMONT","EE - COLEGIO ESTADUAL ALBERTO SANTOS DUMONT",1
"SALVADOR","ESCOLA MONSENHOR BARBOSA","EE - COLEGIO ESTADUAL MONSENHOR MANOEL BARBOSA",1
"SALVADOR","COLEGIO ESTADUAL QUINZE DE NOVEMBRO","EE - COLEGIO ESTADUAL 15 DE NOVEMBRO",1
"SALVADOR","ESCOLA MUNCIPAL DO BEIRU","ESCOLA MUNICIPAL DO BEIRU",1
"SALVADOR","ESCOLA ESTADUAL RAUL SA","EE - ESCOLA ESTADUAL RAUL SA",1
"JEQUIE","ESCOLA MUNICIPAL AGNELO MENEZES","ESCOLA MUNICIPAL AGNELO TELES DE MENEZES",1
"JEQUIE","GRUPO ESCOLAR CARMELIA ALVES","ESCOLA MUNICIPAL CARMELIA ALVES DA SILVA",1
"JEQUIE","GRUPO ESCOLAR HILDA RODRIGUES","ESCOLA MUNICIPAL HILDA RODRIGUES SILVA",1
"JITAUNA","PREDIO ESCOLAR TEREZA ORRICO","ESCOLA TEREZA ORRICO FORTE",1
"IGRAPIUNA","COLEGIO ESTADUAL PROFESSOR NEILTON LIMA","EE - COLEGIO ESTADUAL PROFESSOR NEILTON LIMA MOREIRA",1
"LAJEDO DO TABOCAL","ESCOLA VALDIVINO FONTES","ESCOLA VALDEVINO SOUZA FONTES",1
"SANTA INES","GRUPO ESCOLAR LUIZ VIANA","ESCOLA MUNICIPALIZADA LUIS VIANA FILHO",1
"VITORIA DA CONQUISTA","GINASIO PAULO VI","COLEGIO PAULO VI",1
"VITORIA DA CONQUISTA","ESCOLA MUNICIPAL ANTONIO MACHADO","ESCOLA MUNICIPAL ANTONIO MACHADO RIBEIRO",1
"BOA VISTA DO TUPIM","PREDIO CARLOS SANTANA","ESCOLA PROFESSOR CARLOS SANT ANNA",1
"BOA VISTA DO TUPIM","CENTRO EDUCACIONAL TERRA BOA","CENTRO EDUCACIONAL DE TERRA BOA",1
"ITABERABA","ESCOLA MUNICIPAL  CARLOS ESPINOLA","ESCOLA MUNICIPAL CARLOS SPINOLA DA CUNHA",1
"ITABERABA","ESCOLA MUNICIPAL PROFESSORA  DILMA SANTANA","ESCOLA MUNICIPAL SENHORA SANTANA",1
"ITABERABA","ESCOLA MUNICIPAL MORA MAGALHAES","ESCOLA MUNICIPAL DONA MORA GUIMARAES",1
"ITABERABA","ESCOLA SAO JOSE","ESCOLA MUNICIPAL SAO JOSE - SANTA LINA",1
"RAFAEL JAMBEIRO","ESCOLA MUNICIPAL XV DE NOVEMBRO","ESCOLA MUNICIPAL QUINZE DE NOVEMBRO",1
"ANDORINHA","ESCOLA MUNICIPAL DE RIACHO SECO","ESCOLA MUNICIPAL FAZENDA RIACHO SECO",1
"ANDORINHA","ESCOLA MUNICIPAL DE TANQUE NOVO","ESCOLA MUNICIPAL FAZENDA TANQUE NOVO",1
